state,indicator,value,survey
Rajasthan,Women with moderate anemia,27.9,2019-21
Madhya Pradesh,Women with moderate anemia,26.6,2019-21
Chhattisgarh,Women with moderate anemia,31.2,2019-21
Uttar Pradesh,Women with moderate anemia,23.9,2019-21
Uttarakhand,Women with moderate anemia,19.1,2019-21
Bihar,Women with moderate anemia,31.7,2019-21
Jharkhand,Women with moderate anemia,34.0,2019-21
Odisha,Women with moderate anemia,32.8,2019-21
West Bengal,Women with moderate anemia,39.0,2019-21
Arunachal Pradesh,Women with moderate anemia,17.0,2019-21
Assam,Women with moderate anemia,34.8,2019-21
Manipur,Women with moderate anemia,9.9,2019-21
Meghalaya,Women with moderate anemia,27.8,2019-21
Mizoram,Women with moderate anemia,14.0,2019-21
Nagaland,Women with moderate anemia,10.3,2019-21
Sikkim,Women with moderate anemia,19.4,2019-21
Tripura,Women with moderate anemia,34.2,2019-21
Goa,Women with moderate anemia,14.8,2019-21
Gujarat,Women with moderate anemia,35.2,2019-21
Maharashtra,Women with moderate anemia,27.3,2019-21
Andhra Pradesh,Women with moderate anemia,29.1,2019-21
Telangana,Women with moderate anemia,30.8,2019-21
Karnataka,Women with moderate anemia,22.7,2019-21
Kerala,Women with moderate anemia,14.1,2019-21
Tamil Nadu,Women with moderate anemia,25.9,2019-21
Andaman and Nicobar Islands,Women with moderate anemia,28.1,2019-21
Chandigarh,Women with moderate anemia,29.3,2019-21
"Dadra and Nagar Haveli, Daman and Diu",Women with moderate anemia,30.8,2019-21
Lakshadweep,Women with moderate anemia,10.8,2019-21
Puducherry,Women with moderate anemia,27.5,2019-21
New Delhi,Women with severe anemia,2.9,2019-21
Haryana,Women with severe anemia,3.9,2019-21
Himachal Pradesh,Women with severe anemia,1.8,2019-21
"Jammu, Kashmir & Ladakh",Women with severe anemia,3.3,2019-21
Jammu & Kashmir,Women with severe anemia,2.8,2019-21
Ladakh,Women with severe anemia,29.4,2019-21
Punjab,Women with severe anemia,3.0,2019-21
Rajasthan,Women with severe anemia,2.3,2019-21
Madhya Pradesh,Women with severe anemia,2.3,2019-21
Chhattisgarh,Women with severe anemia,2.6,2019-21
Uttar Pradesh,Women with severe anemia,2.1,2019-21
Uttarakhand,Women with severe anemia,2.3,2019-21
Bihar,Women with severe anemia,2.1,2019-21
Jharkhand,Women with severe anemia,1.9,2019-21
Odisha,Women with severe anemia,2.5,2019-21
West Bengal,Women with severe anemia,2.2,2019-21
Arunachal Pradesh,Women with severe anemia,1.3,2019-21
Assam,Women with severe anemia,2.3,2019-21
Manipur,Women with severe anemia,1.0,2019-21
Meghalaya,Women with severe anemia,2.4,2019-21
Mizoram,Women with severe anemia,1.3,2019-21
Nagaland,Women with severe anemia,0.7,2019-21
Sikkim,Women with severe anemia,2.3,2019-21
Tripura,Women with severe anemia,2.1,2019-21
Goa,Women with severe anemia,1.0,2019-21
Gujarat,Women with severe anemia,3.9,2019-21
Maharashtra,Women with severe anemia,2.8,2019-21
Andhra Pradesh,Women with severe anemia,4.6,2019-21
Telangana,Women with severe anemia,4.8,2019-21
Karnataka,Women with severe anemia,2.9,2019-21
Kerala,Women with severe anemia,1.2,2019-21
Tamil Nadu,Women with severe anemia,3.5,2019-21
Andaman and Nicobar Islands,Women with severe anemia,2.9,2019-21
Chandigarh,Women with severe anemia,2.8,2019-21
"Dadra and Nagar Haveli, Daman and Diu",Women with severe anemia,2.2,2019-21
Lakshadweep,Women with severe anemia,0.7,2019-21
Puducherry,Women with severe anemia,3.7,2019-21
New Delhi,Number of women,9713.0,2019-21
Haryana,Number of women,13132.0,2019-21
Himachal Pradesh,Number of women,3786.0,2019-21
"Jammu, Kashmir & Ladakh",Number of women,6499.0,2019-21
Jammu & Kashmir,Number of women,6381.0,2019-21
Ladakh,Number of women,117.0,2019-21
Punjab,Number of women,13918.0,2019-21
Rajasthan,Number of women,42774.0,2019-21
Madhya Pradesh,Number of women,38569.0,2019-21
Chhattisgarh,Number of women,16606.0,2019-21
Uttar Pradesh,Number of women,111650.0,2019-21
Uttarakhand,Number of women,5471.0,2019-21
Bihar,Number of women,59040.0,2019-21
Jharkhand,Number of women,17620.0,2019-21
Odisha,Number of women,23340.0,2019-21
West Bengal,Number of women,58034.0,2019-21
Arunachal Pradesh,Number of women,579.0,2019-21
Assam,Number of women,18534.0,2019-21
Manipur,Number of women,1248.0,2019-21
Meghalaya,Number of women,1701.0,2019-21
Mizoram,Number of women,555.0,2019-21
Nagaland,Number of women,752.0,2019-21
Sikkim,Number of women,304.0,2019-21
Tripura,Number of women,2164.0,2019-21
Goa,Number of women,1031.0,2019-21
Gujarat,Number of women,32362.0,2019-21
Maharashtra,Number of women,62135.0,2019-21
Andhra Pradesh,Number of women,27226.0,2019-21
Telangana,Number of women,17411.0,2019-21
Karnataka,Number of women,35761.0,2019-21
Kerala,Number of women,17170.0,2019-21
Tamil Nadu,Number of women,41293.0,2019-21
Andaman and Nicobar Islands,Number of women,195.0,2019-21
Chandigarh,Number of women,494.0,2019-21
"Dadra and Nagar Haveli, Daman and Diu",Number of women,257.0,2019-21
Lakshadweep,Number of women,43.0,2019-21
Puducherry,Number of women,668.0,2019-21
New Delhi,Number of women (unweighted),9811.0,2019-21
Haryana,Number of women (unweighted),20432.0,2019-21
Himachal Pradesh,Number of women (unweighted),10158.0,2019-21
"Jammu, Kashmir & Ladakh",Number of women (unweighted),24558.0,2019-21
Jammu & Kashmir,Number of women (unweighted),22262.0,2019-21
Ladakh,Number of women (unweighted),2296.0,2019-21
Punjab,Number of women (unweighted),19792.0,2019-21
Rajasthan,Number of women (unweighted),41691.0,2019-21
Madhya Pradesh,Number of women (unweighted),44981.0,2019-21
Chhattisgarh,Number of women (unweighted),27404.0,2019-21
Uttar Pradesh,Number of women (unweighted),87226.0,2019-21
Uttarakhand,Number of women (unweighted),12463.0,2019-21
Bihar,Number of women (unweighted),40851.0,2019-21
Jharkhand,Number of women (unweighted),25169.0,2019-21
Odisha,Number of women (unweighted),27134.0,2019-21
West Bengal,Number of women (unweighted),20642.0,2019-21
Arunachal Pradesh,Number of women (unweighted),19236.0,2019-21
Assam,Number of women (unweighted),33843.0,2019-21
Manipur,Number of women (unweighted),7898.0,2019-21
Meghalaya,Number of women (unweighted),12712.0,2019-21
Mizoram,Number of women (unweighted),7111.0,2019-21
Nagaland,Number of women (unweighted),9461.0,2019-21
Sikkim,Number of women (unweighted),3046.0,2019-21
Tripura,Number of women (unweighted),7128.0,2019-21
Goa,Number of women (unweighted),1949.0,2019-21
Gujarat,Number of women (unweighted),32469.0,2019-21
Maharashtra,Number of women (unweighted),32245.0,2019-21
Andhra Pradesh,Number of women (unweighted),10448.0,2019-21
Telangana,Number of women (unweighted),25694.0,2019-21
Karnataka,Number of women (unweighted),29052.0,2019-21
Kerala,Number of women (unweighted),10440.0,2019-21
Tamil Nadu,Number of women (unweighted),24730.0,2019-21
Andaman and Nicobar Islands,Number of women (unweighted),2339.0,2019-21
Chandigarh,Number of women (unweighted),630.0,2019-21
"Dadra and Nagar Haveli, Daman and Diu",Number of women (unweighted),2613.0,2019-21
Lakshadweep,Number of women (unweighted),1202.0,2019-21
Puducherry,Number of women (unweighted),3595.0,2019-21
New Delhi,Men with any anemia,12.8,2019-21
Haryana,Men with any anemia,19.0,2019-21
Himachal Pradesh,Men with any anemia,18.6,2019-21
"Jammu, Kashmir & Ladakh",Men with any anemia,37.4,2019-21
Jammu & Kashmir,Men with any anemia,36.7,2019-21
Ladakh,Men with any anemia,75.6,2019-21
Punjab,Men with any anemia,22.6,2019-21
Rajasthan,Men with any anemia,23.2,2019-21
Madhya Pradesh,Men with any anemia,22.5,2019-21
Chhattisgarh,Men with any anemia,27.0,2019-21
Uttar Pradesh,Men with any anemia,21.4,2019-21
Uttarakhand,Men with any anemia,15.1,2019-21
Bihar,Men with any anemia,29.5,2019-21
Jharkhand,Men with any anemia,29.6,2019-21
Odisha,Men with any anemia,28.5,2019-21
West Bengal,Men with any anemia,39.0,2019-21
Arunachal Pradesh,Men with any anemia,21.4,2019-21
Assam,Men with any anemia,36.0,2019-21
Manipur,Men with any anemia,6.0,2019-21
Meghalaya,Men with any anemia,25.5,2019-21
Mizoram,Men with any anemia,15.6,2019-21
Nagaland,Men with any anemia,10.0,2019-21
Sikkim,Men with any anemia,18.7,2019-21
Tripura,Men with any anemia,36.8,2019-21
Goa,Men with any anemia,12.0,2019-21
Gujarat,Men with any anemia,26.6,2019-21
Maharashtra,Men with any anemia,21.9,2019-21
Andhra Pradesh,Men with any anemia,16.3,2019-21
Telangana,Men with any anemia,15.3,2019-21
Karnataka,Men with any anemia,19.6,2019-21
Kerala,Men with any anemia,17.6,2019-21
Tamil Nadu,Men with any anemia,15.2,2019-21
Andaman and Nicobar Islands,Men with any anemia,16.1,2019-21
Chandigarh,Men with any anemia,9.2,2019-21
"Dadra and Nagar Haveli, Daman and Diu",Men with any anemia,24.6,2019-21
Lakshadweep,Men with any anemia,5.6,2019-21
Puducherry,Men with any anemia,19.5,2019-21
New Delhi,Number of men,655.0,2019-21
Haryana,Number of men,840.0,2019-21
Himachal Pradesh,Number of men,695.0,2019-21
"Jammu, Kashmir & Ladakh",Number of men,1261.0,2019-21
Jammu & Kashmir,Number of men,1239.0,2019-21
Ladakh,Number of men,22.0,2019-21
Punjab,Number of men,965.0,2019-21
Rajasthan,Number of men,2593.0,2019-21
Madhya Pradesh,Number of men,2347.0,2019-21
Chhattisgarh,Number of men,1019.0,2019-21
Uttar Pradesh,Number of men,6092.0,2019-21
Uttarakhand,Number of men,286.0,2019-21
Bihar,Number of men,9282.0,2019-21
Jharkhand,Number of men,945.0,2019-21
Odisha,Number of men,1288.0,2019-21
West Bengal,Number of men,10559.0,2019-21
Arunachal Pradesh,Number of men,32.0,2019-21
Assam,Number of men,3528.0,2019-21
Manipur,Number of men,246.0,2019-21
Meghalaya,Number of men,310.0,2019-21
Mizoram,Number of men,107.0,2019-21
Nagaland,Number of men,146.0,2019-21
Sikkim,Number of men,57.0,2019-21
Tripura,Number of men,414.0,2019-21
Goa,Number of men,176.0,2019-21
Gujarat,Number of men,7083.0,2019-21
Maharashtra,Number of men,13143.0,2019-21
Andhra Pradesh,Number of men,5191.0,2019-21
Telangana,Number of men,3153.0,2019-21
Karnataka,Number of men,6984.0,2019-21
Kerala,Number of men,3013.0,2019-21
Tamil Nadu,Number of men,2219.0,2019-21
Andaman and Nicobar Islands,Number of men,42.0,2019-21
Chandigarh,Number of men,41.0,2019-21
"Dadra and Nagar Haveli, Daman and Diu",Number of men,65.0,2019-21
Lakshadweep,Number of men,6.0,2019-21
Puducherry,Number of men,38.0,2019-21
New Delhi,Number of men (unweighted),1317.0,2019-21
Haryana,Number of men (unweighted),2714.0,2019-21
Himachal Pradesh,Number of men (unweighted),1282.0,2019-21
"Jammu, Kashmir & Ladakh",Number of men (unweighted),3015.0,2019-21
Jammu & Kashmir,Number of men (unweighted),2741.0,2019-21
Ladakh,Number of men (unweighted),274.0,2019-21
Punjab,Number of men (unweighted),2666.0,2019-21
Rajasthan,Number of men (unweighted),5563.0,2019-21
Madhya Pradesh,Number of men (unweighted),5851.0,2019-21
Chhattisgarh,Number of men (unweighted),3652.0,2019-21
Uttar Pradesh,Number of men (unweighted),10140.0,2019-21
Uttarakhand,Number of men (unweighted),1287.0,2019-21
Bihar,Number of men (unweighted),4180.0,2019-21
Jharkhand,Number of men (unweighted),2897.0,2019-21
Odisha,Number of men (unweighted),3325.0,2019-21
West Bengal,Number of men (unweighted),2557.0,2019-21
Arunachal Pradesh,Number of men (unweighted),2465.0,2019-21
Assam,Number of men (unweighted),4322.0,2019-21
Manipur,Number of men (unweighted),1034.0,2019-21
